DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,Id SISPEA de l'entité de gestion,Nom de l'entité de gestion,Mode de gestion,Pop de l'entité de gestion sans double compte,Statut,D101.0,Verif_D101.0,CalculAuto_D101.0,D102.0,Verif_D102.0,CalculAuto_D102.0,VP.179,VP.178,VP.214,DC.184,VP.177,VP.229,VP.213,VP.190,VP.216,VP.056,VP.215,VP.191,VP.175,VP.219,Borne inférieure Tranche 1 (part collectivité),Borne supérieure Tranche 1 (part collectivité),Prix Tranche 1 (part collectivité),Borne inférieure Tranche 2 (part collectivité),Borne supérieure Tranche 2 (part collectivité),Prix Tranche 2 (part collectivité),Borne inférieure Tranche 3 (part collectivité),Borne supérieure Tranche 3 (part collectivité),Prix Tranche 3 (part collectivité),Borne inférieure Tranche 4 (part collectivité),Borne supérieure Tranche 4 (part collectivité),Prix Tranche 4 (part collectivité),Borne inférieure Tranche 5 (part collectivité),Borne supérieure Tranche 5 (part collectivité),Prix Tranche 5 (part collectivité),Borne inférieure Tranche 6 (part collectivité),Borne supérieure Tranche 6 (part collectivité),Prix Tranche 6 (part collectivité),Borne inférieure Tranche 7 (part collectivité),Borne supérieure Tranche 7 (part collectivité),Prix Tranche 7 (part collectivité),Borne inférieure Tranche 8 (part collectivité),Borne supérieure Tranche 8 (part collectivité),Prix Tranche 8 (part collectivité),Borne inférieure Tranche 9 (part collectivité),Borne supérieure Tranche 9 (part collectivité),Prix Tranche 9 (part collectivité),Borne inférieure Tranche 10 (part collectivité),Borne supérieure Tranche 10 (part collectivité),Prix Tranche 10 (part collectivité),Borne inférieure Tranche 1 (part délégataire),Borne supérieure Tranche 1 (part délégataire),Prix Tranche 1 (part délégataire),Borne inférieure Tranche 2 (part délégataire),Borne supérieure Tranche 2 (part délégataire),Prix Tranche 2 (part délégataire),Borne inférieure Tranche 3 (part délégataire),Borne supérieure Tranche 3 (part délégataire),Prix Tranche 3 (part délégataire),Borne inférieure Tranche 4 (part délégataire),Borne supérieure Tranche 4 (part délégataire),Prix Tranche 4 (part délégataire),Borne inférieure Tranche 5 (part délégataire),Borne supérieure Tranche 5 (part délégataire),Prix Tranche 5 (part délégataire),Borne inférieure Tranche 6 (part délégataire),Borne supérieure Tranche 6 (part délégataire),Prix Tranche 6 (part délégataire),Borne inférieure Tranche 7 (part délégataire),Borne supérieure Tranche 7 (part délégataire),Prix Tranche 7 (part délégataire),Borne inférieure Tranche 8 (part délégataire),Borne supérieure Tranche 8 (part délégataire),Prix Tranche 8 (part délégataire),Borne inférieure Tranche 9 (part délégataire),Borne supérieure Tranche 9 (part délégataire),Prix Tranche 9 (part délégataire),Borne inférieure Tranche 10 (part délégataire),Borne supérieure Tranche 10 (part délégataire),Prix Tranche 10 (part délégataire)
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80656,eau potable : Saint-Chamond-L'Horme,Délégation,39757,Confirmé / publié,40258,Sans anomalie apparente,0,"2,36",Sans anomalie apparente,1,"59,73",116,,,"107,91","2,09","5,5","31,67","0,28",19228,"0,0945",8,40258,,0,,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,"0,543",80,,"0,82",,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80279,eau potable : L'Etrat,Délégation,2531,Confirmé / publié,2685,Sans anomalie apparente,0,"2,92",Sans anomalie apparente,1,"45,87","224,87",,,"79,68","1,74","5,5","44,78","0,23",1541,,"3,05",2685,,0,,"1,8485",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"0,2908",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80287,eau potable : Fontanès,Délégation,678,Confirmé / publié,691,Sans anomalie apparente,0,"4,17",Sans anomalie apparente,1,"58,9","215,6",,,"226,39","2,33","5,5","20,78","0,23",297,"0,0432","39,2",691,,0,,"1,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,7134",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80209,eau potable : Caloire,Délégation,316,Confirmé / publié,319,Sans anomalie apparente,0,"3,66",Sans anomalie apparente,1,"50,51","102,16",,,"286,71","2,22","5,5","59,71","0,23",144,,"28,96",319,,0,,"0,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,8917",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80293,eau potable : Fraisses,Régie,3723,Confirmé / publié,3773,Sans anomalie apparente,0,"2,32",Sans anomalie apparente,1,"42,1",236,,,,"1,93","5,5",,"0,23",1950,,32,3773,,0,,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80337,eau potable : Marcenod,Régie,710,Confirmé / publié,722,Sans anomalie apparente,0,"2,71",Sans anomalie apparente,1,"44,54","280,4",,,,"2,41","5,5",,"0,23",300,,50,722,,0,,"1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80421,eau potable : Saint Bonnet les Oules,Délégation,819,Confirmé / publié,1693,Sans anomalie apparente,0,"3,14",Sans anomalie apparente,1,"47,24",187,,,"142,46","2,2","5,5","34,64","0,23",770,,43,1693,,0,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"0,8985",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80286,eau potable : Firminy,Régie,17135,Confirmé / publié,17190,Sans anomalie apparente,0,"2,15",Sans anomalie apparente,1,"41,07","217,36",,,,"3,14","5,5",,"0,23",5468,,"33,76",17190,,0,,"1,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80289,eau potable : La Fouillouse,Délégation,2250,Vérifié,4589,Sans anomalie apparente,0,"3,17",Sans anomalie apparente,1,"52,16","134,6",,,"193,9","1,83","5,5",20,"0,23",2508,"0,0393",5,4589,,0,,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,4492",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80444,eau potable : Saint Galmier,Délégation,2861,Confirmé / publié,5881,Sans anomalie apparente,0,"2,49",Sans anomalie apparente,1,"48,01","108,82",,,"142,53","1,97","5,5","42,98","0,23",2991,"0,04","6,1",5881,,0,30,"0,712",30,120,"0,904",120,,"1,208",,,,,,,,,,,,,,,,,,,,,,0,30,"0,5661",30,,"0,9174",,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80175,eau potable : Andrezieux Bouthéon,Délégation,4895,Confirmé / publié,9887,Sans anomalie apparente,0,"1,47",Sans anomalie apparente,1,"36,83",24,,,"116,14","1,94","5,5","28,28","0,23",5087,,0,9887,,0,,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"0,7322",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80451,eau potable : Génilac,Délégation,3896,Confirmé / publié,3982,Sans anomalie apparente,0,"3,24",Sans anomalie apparente,1,"68,25","82,4",,,"237,85","2,38","5,5","34,15","0,28",1676,"0,12",0,3982,,0,70,"0,72",70,,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,6975",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80224,eau potable : Chamboeuf,Délégation,855,Confirmé / publié,1788,Sans anomalie apparente,0,"2,86",Sans anomalie apparente,1,"49,98","46,81",,,"246,86","2,57","5,5","72,63","0,23",697,"0,0372","11,1",1788,,0,120,"0,2976",120,,,,,,,,,,,,,,,,,,,,,,,,,,,0,300,"1,4519",300,,"1,3332",,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80584,eau potable : Villars,Délégation,7970,Confirmé / publié,8111,Sans anomalie apparente,0,"2,73",Sans anomalie apparente,1,"48,87","35,4",,,"243,16","2,02","5,5","16,86","0,23",4022,"0,035",0,8111,,0,,"0,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,8858",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80295,eau potable : La Gimond,Régie,277,Confirmé / publié,288,Sans anomalie apparente,0,"4,12",Sans anomalie apparente,1,"53,39","441,4",,,,"2,42","5,5",,"0,23",119,,31,288,,0,,"3,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80571,eau potable : La Valla en Gier,Régie,1042,Confirmé / publié,1091,Sans anomalie apparente,0,"2,43",Sans anomalie apparente,1,"56,99","235,2",,,,"2,69","5,5",,"0,28",405,"0,068",60,1091,,0,,"1,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80400,eau potable : Rive de Gier,Régie,15184,Confirmé / publié,15228,Sans anomalie apparente,0,"2,3",Sans anomalie apparente,1,"58,8","217,4",,,,"2,24","5,5",,"0,28",6811,"0,09",29,15228,,0,,"1,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80438,eau potable : Saint Etienne,Délégation,174044,Confirmé / publié,176570,Sans anomalie apparente,0,"1,39",Sans anomalie apparente,1,"40,56","14,4",,,"112,22",2,"5,5","45,02","0,23",88281,"0,0354",0,176570,,0,,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,120,"0,56",120,200,"1,5",200,,"1,61",,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80513,eau potable : Saint Priest en Jarez,Régie,6120,Confirmé / publié,6187,Sans anomalie apparente,0,"2,51",Sans anomalie apparente,1,"43,27","257,4",,,,"1,89","5,5",,"0,23",3274,,15,6187,,0,120,"2,02",120,6000,"2,02",6000,,"1,93",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80459,eau potable : Saint Héand,Délégation,3592,Confirmé / publié,3668,Sans anomalie apparente,0,"3,31",Sans anomalie apparente,1,"54,11","116,4",,,"226,38","1,96","5,5","20,78","0,23",1867,"0,0485",0,3668,,0,,"0,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,7133",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=262234,eau potable : la régie du Furan,Régie,21431,Confirmé / publié,21750,Sans anomalie apparente,0,3,Sans anomalie apparente,1,"46,39",314,,,,"2,04","5,5",,"0,23",10684,,20,21750,,0,,"2,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80562,eau potable : Unieux,Régie,8597,Confirmé / publié,8488,Sans anomalie apparente,0,"3,17",Sans anomalie apparente,1,"47,41","332,58",,,,2,"5,5",,"0,23",4252,,"38,58",8488,,0,,"2,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80598,eau potable : Cellieu-Chagnon,Délégation,2187,Confirmé / publié,2236,Sans anomalie apparente,0,"2,33",Sans anomalie apparente,1,"61,14","36,2",,,"182,82","2,13","5,5",22,"0,28",1052,"0,1078",17,2236,,0,,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,3402",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80403,eau potable : Roche la Molière,Délégation,9697,Confirmé / publié,9916,Sans anomalie apparente,0,"3,19",Sans anomalie apparente,1,"54,31","80,4",,,"247,76","2,05","5,5","36,86","0,23",4826,"0,0564",0,9916,,0,,"0,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,7575",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80492,eau potable : Saint Martin la Plaine,Régie,3755,Confirmé / publié,3864,Sans anomalie apparente,0,"3,4",Sans anomalie apparente,1,"64,37",344,,,,"2,16","5,5",,"0,28",1785,"0,079",20,3864,,0,,"2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80379,eau potable : Pavezin,Régie,354,Confirmé / publié,372,Sans anomalie apparente,0,"3,46",Sans anomalie apparente,1,"64,63",351,,,,"2,1","5,5",,"0,28",177,"0,078",75,372,,0,,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80446,eau potable : Saint Genest Lerpt,Délégation,6131,Confirmé / publié,6230,Sans anomalie apparente,0,"2,63",Sans anomalie apparente,1,"50,45","50,4",,,"214,34","1,95","5,5","26,56","0,23",3198,"0,0535",0,6230,,0,,"0,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,5648",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80227,eau potable : Le Chambon Feugerolles,Régie,12317,Confirmé / publié,12279,Sans anomalie apparente,0,"2,49",Sans anomalie apparente,1,"49,77","248,8",,,,"2,23","5,5",,"0,23",5497,"0,055","42,4",12279,,0,,"1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80398,eau potable : La Ricamarie,Régie,7906,Confirmé / publié,7937,Sans anomalie apparente,0,"3,08",Sans anomalie apparente,1,"46,86","322,6",,,,"2,12","5,5",,"0,23",3740,,31,7937,,0,6000,"2,43",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076,CollectivityId=92876,METROPOLE ROUEN NORMANDIE (MRN),Métropole,ServiceId=306174,eau potable,Régie,489844,Confirmé / publié,499912,Sans anomalie apparente,0,"2,04",Sans anomalie apparente,1,"75,14","169,28",,,,"2,49","5,5",,"0,42",200550,"0,1","34,95",499912,,0,40,"0,9472",40,100,"1,1327",100,,"1,4238",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
