metropole,code_commune,nom_commune,note_secret,nb_logements_sociaux,nb_logements_mesures,taux_vacance,taux_vacance_3mois,taux_rotation,part_collectif,part_individuel,part_T1,part_T2,part_T3,part_T4,part_T5plus,part_surf_inf30,part_surf_30_40,part_surf_40_60,part_surf_60_80,part_surf_80_100,part_surf_100_120,part_surf_sup120,part_avant_1949,part_1949_1975,part_1976_1988,part_1989_2000,part_2001_2013,part_apres_2013,part_PLAI,part_HLM_avant_1977,part_HLM_apres_1977,part_PLS,part_PLI,loyer_moyen,loyer_q1,loyer_median,loyer_q3
Montpellier,34129,Lattes,0,875,13,0.0,0.0,3.6,86.7,13.3,7.0,30.2,34.5,22.9,5.4,7.5,3.2,28.0,37.7,22.3,1.4,0.0,0.0,0.0,15.3,24.3,8.5,51.8,17.9,0.0,76.4,1.3,4.4,7.16,6.58,7.01,7.36
Montpellier,34172,Montpellier,0,31761,341,1.1,0.4,6.7,97.0,3.0,14.1,18.0,37.1,23.7,7.2,10.9,3.7,20.1,45.4,16.6,3.1,0.2,1.2,23.2,16.2,17.6,24.2,17.6,9.7,27.6,48.1,12.5,2.1,6.69,5.63,6.71,7.43
Montpellier,34198,Pérols,0,170,0,0.0,0.0,7.2,74.7,25.3,0.0,36.0,39.6,17.1,7.3,0.0,0.0,36.9,43.2,19.9,0.0,0.0,0.0,0.0,0.0,14.5,29.5,56.1,23.5,0.0,76.5,0.0,0.0,6.67,6.08,6.61,7.19
Montpellier,34202,Pignan,0,553,0,0.0,2.0,6.7,82.1,17.9,0.0,33.1,37.7,20.8,8.4,0.0,0.0,33.2,42.3,22.4,2.1,0.0,0.0,0.0,0.0,18.3,21.9,59.9,16.9,0.0,65.4,17.8,0.0,7.14,6.38,6.98,7.35
Montpellier,34217,Prades-le-Lez,0,264,37,0.0,0.0,5.3,89.8,10.2,0.0,22.2,43.6,29.3,4.9,0.0,0.0,19.0,50.4,26.4,4.3,0.0,0.0,0.0,18.7,0.0,19.9,61.4,22.3,0.0,68.2,9.5,0.0,6.72,6.03,6.6,6.95
Montpellier,34259,Saint-Georges-d'Orques,0,174,0,0.0,0.0,0.0,51.9,48.1,0.0,22.5,34.7,34.7,8.1,0.0,0.0,24.0,49.7,26.3,0.0,0.0,0.0,9.6,0.0,12.6,48.5,29.3,29.2,0.0,70.8,0.0,0.0,6.68,6.2,6.67,7.07
Montpellier,34270,Saint-Jean-de-Védas,0,875,0,0.0,0.0,11.0,85.8,14.2,0.0,33.1,37.8,26.6,2.6,0.0,1.3,32.7,47.0,17.6,1.4,0.0,0.0,0.0,0.0,12.8,5.3,81.9,26.0,0.0,68.8,5.2,0.0,7.19,6.64,7.17,7.51
Montpellier,34327,Vendargues,0,369,0,0.0,3.7,5.1,95.0,5.0,0.0,28.6,48.8,19.7,2.9,0.0,3.0,25.9,53.2,17.8,0.0,0.0,0.0,0.0,15.4,13.8,14.4,56.4,20.9,0.0,76.2,2.9,0.0,6.99,6.61,7.05,7.32
Montpellier,34337,Villeneuve-lès-Maguelone,0,578,0,0.0,0.0,0.0,92.2,7.8,2.1,26.6,41.6,23.8,6.0,1.9,0.0,27.5,50.3,17.3,3.1,0.0,0.0,1.8,14.5,20.5,22.7,40.5,17.2,0.0,82.8,0.0,0.0,6.61,6.15,6.68,7.07
Rennes,35001,Acigné,0,512,14,7.2,3.9,8.5,94.6,5.4,0.0,29.3,38.2,25.6,6.9,0.0,2.1,30.4,48.4,16.9,2.3,0.0,0.0,5.8,19.4,26.9,29.9,18.0,14.9,15.9,59.5,6.0,3.7,6.16,5.42,6.02,6.75
Rennes,35024,Betton,0,768,0,1.6,1.6,8.7,94.2,5.8,0.0,28.9,41.0,24.1,6.0,0.0,1.6,30.5,52.3,13.7,2.0,0.0,1.5,0.0,6.1,14.0,39.7,38.6,18.1,2.1,71.6,8.3,0.0,6.1,5.51,5.9,6.53
Rennes,35047,Bruz,0,1406,20,0.9,0.0,12.0,98.2,1.8,13.4,26.9,36.1,18.0,5.6,9.6,4.3,27.8,39.1,16.8,2.5,0.0,0.0,6.8,10.5,22.9,35.3,24.5,11.9,6.7,63.6,6.2,11.5,6.63,5.73,6.35,6.94
Rennes,35051,Cesson-Sévigné,0,1973,174,2.8,0.7,18.0,93.1,6.9,29.8,23.2,28.2,15.3,3.5,28.4,2.4,22.6,31.4,13.5,1.6,0.0,0.7,4.7,10.8,18.7,38.1,27.0,11.2,13.6,38.5,18.1,18.6,7.4,5.82,6.46,7.2
Rennes,35055,Chantepie,0,1087,12,1.9,0.0,7.5,96.1,3.9,0.0,29.0,44.1,21.3,5.6,0.0,2.8,28.9,50.9,16.2,1.3,0.0,0.0,3.1,18.5,9.4,60.2,8.9,7.5,3.8,78.1,9.6,1.1,6.53,5.92,6.39,6.98
Rennes,35066,Chartres-de-Bretagne,0,828,29,1.4,0.0,7.7,94.9,5.1,2.1,29.2,39.7,20.7,8.3,0.0,2.5,27.7,49.0,18.6,2.1,0.0,0.0,3.7,15.4,8.8,35.8,36.2,20.3,4.9,71.8,3.0,0.0,6.3,5.78,6.24,6.68
Rennes,35196,Mordelles,0,577,0,2.2,2.1,5.5,92.2,7.8,0.0,32.9,38.1,25.6,3.4,0.0,1.9,33.9,47.5,14.8,1.9,0.0,2.1,27.8,0.0,20.1,23.2,26.7,14.8,22.6,58.1,1.9,2.6,5.84,5.18,5.71,6.34
Rennes,35206,Noyal-Châtillon-sur-Seiche,0,723,31,1.7,0.0,10.3,97.8,2.2,1.9,30.7,42.0,21.1,4.3,0.0,1.7,32.1,49.9,14.8,1.6,0.0,0.0,0.0,12.2,23.2,37.5,27.1,16.2,3.5,69.8,10.5,0.0,6.2,5.53,6.03,6.54
Rennes,35210,Pacé,0,643,0,0.0,2.0,9.8,92.9,7.1,2.5,35.0,37.9,20.7,3.9,0.0,3.6,37.4,42.1,16.9,0.0,0.0,0.0,5.9,20.7,12.9,38.0,22.4,14.3,13.7,68.7,1.7,1.7,5.98,5.39,5.92,6.41
Rennes,35238,Rennes,0,31215,675,2.3,0.8,8.7,98.2,1.8,13.5,24.5,32.3,21.7,8.0,9.9,4.8,30.9,38.7,12.9,2.5,0.3,1.9,51.3,9.7,13.3,12.3,11.5,5.2,52.6,32.2,7.6,2.4,6.19,5.3,5.95,6.73
Rennes,35240,Le Rheu,0,891,0,1.6,0.0,7.6,84.8,15.2,6.4,29.5,33.5,23.3,7.3,0.0,5.7,28.7,43.2,18.2,2.9,1.2,1.3,13.5,21.7,19.6,17.8,25.9,11.4,15.3,53.8,16.4,3.1,6.19,5.3,6.05,6.94
Rennes,35278,Saint-Grégoire,0,511,0,0.0,0.0,6.1,93.7,6.3,0.0,34.7,34.5,21.2,9.7,0.0,2.4,35.4,44.2,13.7,4.4,0.0,2.2,4.6,19.4,12.1,21.2,40.6,15.4,17.1,54.5,13.0,0.0,6.43,5.65,6.25,6.96
Rennes,35281,Saint-Jacques-de-la-Lande,0,1524,92,2.5,0.8,8.2,99.0,1.0,1.8,27.5,38.4,25.7,6.6,2.6,3.5,27.5,42.9,20.8,2.7,0.0,0.0,7.8,2.5,22.3,46.5,20.9,10.6,7.9,54.0,23.7,3.7,6.94,6.05,6.67,7.76
Rennes,35334,Thorigné-Fouillard,0,598,23,0.0,0.0,8.9,96.1,3.9,2.0,31.3,39.8,23.1,3.8,0.0,2.3,30.4,50.8,16.4,0.0,0.0,0.0,0.0,3.7,23.0,32.5,40.7,16.3,0.0,76.3,7.4,0.0,6.16,5.58,6.04,6.5
Rennes,35352,Vern-sur-Seiche,0,580,35,5.1,0.0,8.3,91.5,8.5,0.0,39.9,38.3,18.8,2.9,0.0,0.0,35.9,51.7,12.4,0.0,0.0,0.0,2.4,10.2,21.3,26.7,39.4,15.2,0.0,73.9,10.9,0.0,6.38,5.61,6.12,6.71
Grenoble,38111,Claix,0,474,0,2.3,2.3,8.8,86.0,14.0,3.4,25.6,37.4,24.9,8.7,0.0,2.8,30.0,46.7,16.2,4.3,0.0,16.3,2.9,29.9,0.0,23.8,27.0,18.0,0.0,71.7,10.4,0.0,6.9,6.44,6.9,7.33
Grenoble,38150,Domène,0,627,17,0.0,2.4,9.5,96.5,3.5,3.4,28.9,42.0,19.9,5.7,1.7,2.4,42.2,32.0,15.9,4.1,1.7,0.0,25.9,33.9,15.9,14.0,10.4,8.3,21.0,70.7,0.0,0.0,7.36,6.85,7.31,7.8
Grenoble,38151,Échirolles,0,6500,13,2.4,1.2,8.4,100.0,0.0,2.8,20.4,38.8,29.3,8.8,0.6,1.9,31.2,44.7,18.7,2.5,0.4,4.4,52.0,12.3,8.0,14.8,8.6,3.6,51.9,39.1,4.2,1.2,6.48,5.53,6.24,7.32
Grenoble,38158,Eybens,0,1128,51,2.1,0.0,8.1,98.8,1.2,3.4,23.7,37.2,28.5,7.1,0.0,4.4,29.2,43.9,18.6,2.9,1.0,0.0,9.2,12.0,41.5,13.2,24.1,14.0,1.0,77.5,4.9,2.7,7.46,6.84,7.32,7.81
Grenoble,38169,Fontaine,0,2500,0,2.8,1.3,6.8,95.0,5.0,7.3,15.6,37.5,31.7,8.0,3.2,3.6,23.0,46.9,20.4,2.4,0.4,0.4,35.0,18.4,14.5,19.6,12.1,8.3,31.3,55.3,3.5,1.5,6.72,6.12,6.58,7.24
Grenoble,38179,Gières,0,744,0,2.0,1.5,19.0,100.0,0.0,34.1,17.9,28.3,17.9,1.8,33.0,2.9,17.6,32.8,11.5,2.1,0.0,1.9,1.5,19.6,40.5,13.0,23.7,11.7,1.9,77.3,9.2,0.0,7.83,6.8,7.27,7.73
Grenoble,38185,Grenoble,0,17639,153,2.3,0.9,8.4,98.9,1.1,8.8,21.6,34.4,26.4,8.7,3.9,4.6,26.7,39.5,19.8,4.4,1.1,7.8,39.2,15.8,7.4,19.5,10.3,6.8,42.0,42.1,5.9,3.2,6.61,5.69,6.54,7.33
Grenoble,38229,Meylan,0,1392,13,0.8,0.0,6.2,92.1,7.9,8.5,20.6,34.2,25.7,11.0,4.2,5.7,25.0,37.7,21.8,4.6,0.9,0.8,5.1,44.1,11.1,14.0,24.9,11.8,14.0,62.5,11.0,0.8,7.02,6.37,6.9,7.43
Grenoble,38317,Le Pont-de-Claix,0,1432,14,1.2,0.0,10.0,91.7,8.3,4.7,15.8,34.9,34.1,10.5,1.4,2.9,16.8,55.9,20.6,2.4,0.0,3.3,49.7,14.6,14.0,9.2,9.2,4.3,40.1,53.5,1.2,1.0,6.5,5.7,6.51,7.14
Grenoble,38382,Saint-Égrève,0,1615,36,2.0,0.0,7.6,91.9,8.1,3.7,23.1,42.0,24.3,6.8,1.9,3.0,27.4,40.9,20.6,5.5,0.7,0.0,11.9,28.3,6.0,14.1,39.6,16.9,7.3,69.2,5.8,0.7,7.18,6.5,7.11,7.55
Grenoble,38421,Saint-Martin-d'Hères,0,4399,36,2.5,1.3,8.2,98.4,1.6,20.6,12.7,36.0,25.0,5.7,14.1,6.9,28.0,36.4,12.0,2.1,0.5,1.1,34.4,13.6,18.8,20.4,11.8,5.4,16.3,67.3,8.2,2.8,7.19,6.61,7.11,7.58
Grenoble,38423,Saint-Martin-le-Vinoux,0,622,11,3.1,0.0,14.9,94.6,5.4,2.3,14.7,40.9,31.4,10.8,0.0,3.3,30.7,46.7,17.5,1.8,0.0,20.1,18.9,12.4,29.4,11.0,8.2,13.7,29.5,51.6,1.7,3.5,6.73,6.04,6.71,7.43
Grenoble,38474,Sassenage,0,844,28,1.6,1.3,9.2,98.5,1.5,3.4,23.5,44.3,25.0,3.8,1.5,1.6,25.1,53.2,17.1,1.5,0.0,2.5,8.7,14.8,6.4,26.0,41.7,20.5,7.6,50.8,5.0,16.1,7.58,6.43,7.12,7.67
Grenoble,38485,Seyssinet-Pariset,0,646,32,2.6,1.7,8.9,95.6,4.4,6.7,29.1,41.3,18.4,4.5,3.6,2.2,38.5,37.9,14.8,3.1,0.0,0.0,15.0,31.5,0.0,18.0,35.5,23.3,8.9,61.3,6.6,0.0,7.41,6.81,7.3,7.82
Grenoble,38486,Seyssins,0,522,63,2.5,0.0,5.8,93.8,6.2,0.0,26.8,45.5,24.7,3.1,0.0,2.0,26.7,52.2,19.1,0.0,0.0,0.0,0.0,15.8,5.2,23.0,56.0,19.4,0.0,70.6,3.7,6.4,7.45,6.76,7.19,7.61
Grenoble,38516,La Tronche,0,491,0,8.6,5.4,13.4,100.0,0.0,31.9,14.8,20.5,26.6,6.1,24.1,6.2,18.5,44.2,7.1,0.0,0.0,0.0,42.7,4.9,24.2,25.5,2.7,5.5,41.1,43.0,5.1,5.3,7.66,6.93,7.37,8.16
Grenoble,38524,Varces-Allières-et-Risset,0,558,32,2.7,2.0,11.3,85.4,14.6,0.0,27.0,40.3,28.4,4.3,0.0,1.9,30.5,44.0,19.4,4.2,0.0,0.0,12.0,2.7,18.9,45.3,21.1,17.3,9.6,67.9,3.0,2.1,7.16,6.56,7.14,7.57
Grenoble,38545,Vif,0,480,19,0.0,0.0,6.7,64.7,35.3,6.4,20.2,28.9,31.2,13.3,0.0,2.9,25.7,33.6,26.8,11.1,0.0,7.7,10.4,29.6,16.6,2.6,33.2,15.1,25.8,56.5,2.7,0.0,6.72,6.22,6.85,7.12
Grenoble,38562,Vizille,0,719,0,0.0,0.0,7.5,97.1,2.9,5.9,17.9,46.1,26.3,3.9,1.6,2.0,39.9,40.3,12.5,2.0,1.6,14.0,40.4,22.5,15.4,2.5,5.2,8.7,50.0,39.3,0.0,2.0,6.29,5.52,6.18,7.17
Saint-Etienne,42005,Andrézieux-Bouthéon,0,1004,0,2.3,1.4,9.4,96.8,3.2,2.7,19.1,41.7,29.6,7.0,0.0,2.3,19.3,53.3,19.1,6.1,0.0,0.0,88.1,0.0,3.3,0.0,8.6,4.7,85.9,9.3,0.0,0.0,5.32,4.85,5.1,5.57
Saint-Etienne,42044,Le Chambon-Feugerolles,0,2231,0,5.8,3.7,6.8,91.2,8.8,1.4,18.6,38.7,32.6,8.6,0.0,1.6,23.7,45.3,24.3,4.3,0.8,9.7,55.4,11.6,6.5,13.7,3.1,5.1,64.5,25.4,1.4,3.6,5.32,4.81,5.16,5.75
Saint-Etienne,42095,Firminy,0,3168,0,16.3,13.4,10.1,94.8,5.2,5.1,22.3,40.2,24.8,7.6,1.6,6.6,38.9,31.6,17.5,2.8,1.1,2.5,70.8,10.7,2.3,7.2,6.6,4.5,77.3,14.4,2.1,1.8,5.79,5.16,5.56,6.27
Saint-Etienne,42183,La Ricamarie,0,1341,11,5.1,2.8,10.8,95.6,4.4,3.7,22.8,35.8,29.8,7.9,0.0,5.2,31.6,38.8,20.2,2.7,1.4,9.3,55.3,21.1,3.6,3.2,7.6,9.0,55.6,32.4,2.0,0.9,5.21,4.44,5.12,5.92
Saint-Etienne,42186,Rive-de-Gier,0,2007,0,3.9,2.0,8.9,97.2,2.8,3.3,17.3,41.6,29.3,8.5,0.6,2.7,24.8,48.7,20.6,2.5,0.0,7.3,59.6,14.2,6.2,6.3,6.4,2.3,2.0,95.2,0.0,0.6,5.58,5.08,5.58,6.1
Saint-Etienne,42189,Roche-la-Molière,0,1099,0,2.3,1.6,10.2,88.2,11.8,2.8,20.1,38.2,34.3,4.6,0.0,2.7,25.5,45.8,24.9,1.1,0.0,21.3,50.0,12.9,1.1,10.5,4.3,9.5,54.4,23.3,0.0,12.8,5.49,4.69,5.32,6.22
Saint-Etienne,42207,Saint-Chamond,0,5873,11,5.0,3.9,8.4,98.8,1.2,3.9,22.4,42.0,26.5,5.3,0.6,3.3,33.4,48.1,12.8,1.6,0.3,7.4,65.6,17.8,5.4,1.9,1.7,2.3,78.8,18.3,0.4,0.2,5.48,4.92,5.47,5.97
Saint-Etienne,42218,Saint-Étienne,0,19532,76,4.1,2.5,8.5,97.9,2.1,6.1,22.8,37.4,27.1,6.6,2.2,4.5,31.2,40.7,17.3,3.6,0.5,12.1,50.2,17.9,9.8,7.1,2.9,6.2,52.3,31.1,4.3,6.1,5.68,4.92,5.55,6.33
Saint-Etienne,42222,Saint-Galmier,0,216,0,0.0,0.0,12.0,59.6,40.4,0.0,13.8,39.6,31.8,14.7,0.0,0.0,26.1,36.1,29.6,8.3,0.0,0.0,16.9,42.3,20.2,0.0,20.7,11.0,41.9,42.4,0.0,4.7,5.48,4.88,5.51,5.98
Saint-Etienne,42223,Saint-Genest-Lerpt,0,558,48,2.2,2.0,9.1,98.1,1.9,0.0,20.9,47.1,29.3,2.7,0.0,1.9,21.2,53.7,18.7,2.1,2.4,10.7,19.0,12.1,8.0,26.8,23.4,15.6,18.8,55.4,7.5,2.7,6.26,5.52,6.3,6.81
Saint-Etienne,42237,Saint-Jean-Bonnefonds,0,542,0,0.0,0.0,10.2,96.3,3.7,2.1,25.0,38.0,25.9,9.0,0.0,3.6,24.8,44.3,22.8,4.5,0.0,2.1,19.7,49.2,12.7,14.1,2.1,6.2,45.3,43.0,2.1,3.4,5.67,4.94,5.71,6.44
Saint-Etienne,42275,Saint-Priest-en-Jarez,0,511,0,2.2,2.2,6.3,77.1,22.9,5.9,14.2,33.8,39.3,6.9,0.0,5.7,13.7,49.7,24.1,4.7,2.2,0.0,43.4,28.4,13.4,8.9,5.9,6.6,42.3,45.6,0.0,5.5,6.18,5.21,5.83,7.18
Saint-Etienne,42302,Sorbiers,0,525,0,2.2,2.3,6.0,85.7,14.3,0.0,19.1,37.6,34.7,8.6,0.0,0.0,17.5,52.8,26.4,3.4,0.0,0.0,44.6,0.0,8.2,29.9,17.3,11.5,43.0,45.5,0.0,0.0,6.13,5.51,6.05,6.61
Saint-Etienne,42305,La Talaudière,0,581,0,1.9,0.0,9.4,95.1,4.9,1.9,23.2,38.8,31.1,5.0,0.0,1.8,27.4,43.0,25.9,2.0,0.0,1.9,30.1,13.5,12.7,26.2,15.7,7.8,35.3,52.4,4.6,0.0,6.24,5.51,6.22,6.85
Saint-Etienne,42316,Unieux,0,1063,0,13.5,11.5,7.9,95.7,4.3,4.0,16.6,41.4,27.8,10.3,0.0,2.2,24.8,46.3,20.3,5.4,1.1,5.0,34.5,29.3,13.6,10.7,6.9,6.2,36.0,56.8,1.0,0.0,5.42,4.78,5.3,6.04
Saint-Etienne,42330,Villars,0,313,0,0.0,0.0,6.3,96.6,3.4,3.4,26.2,44.2,19.5,6.7,0.0,3.4,25.7,45.5,21.9,3.4,0.0,8.6,4.3,17.0,11.4,51.9,6.8,20.5,9.7,65.6,4.2,0.0,6.29,5.82,6.34,6.71
Rouen,76095,Bihorel,0,1137,11,0.0,0.0,10.4,100.0,0.0,1.0,19.5,31.1,37.6,10.8,1.2,1.0,20.9,50.5,26.4,0.0,0.0,0.0,77.9,19.6,0.0,1.1,1.5,1.0,76.0,3.5,0.0,19.5,5.61,5.11,5.51,5.95
Rouen,76103,Bonsecours,0,518,11,0.0,0.0,9.7,82.7,17.3,2.1,17.1,30.7,45.7,4.4,0.0,2.1,18.9,56.6,20.1,2.1,0.0,0.0,44.4,21.6,22.4,8.9,2.7,5.8,41.7,46.7,2.1,3.7,6.36,5.67,6.41,6.89
Rouen,76108,Bois-Guillaume,0,668,0,1.8,1.7,9.1,91.8,8.2,0.0,27.4,42.3,25.9,4.4,1.6,2.3,26.7,45.9,23.5,0.0,0.0,2.6,0.0,14.9,21.1,32.8,28.6,12.1,2.5,64.1,16.8,4.5,6.98,6.28,6.87,7.63
Rouen,76157,Canteleu,0,4055,0,2.0,1.1,10.4,95.3,4.7,3.2,15.6,39.8,35.1,6.3,2.1,4.1,29.0,48.9,13.5,1.8,0.5,0.0,70.4,14.8,1.4,10.9,2.6,0.6,74.5,21.4,2.9,0.6,6.08,5.48,5.87,6.54
Rouen,76165,Caudebec-lès-Elbeuf,0,1207,11,2.7,0.0,7.5,80.5,19.5,6.6,13.1,34.8,30.3,15.2,1.0,6.9,18.0,32.1,33.0,5.6,3.5,3.0,8.1,29.2,23.8,18.5,17.4,20.6,10.3,59.3,3.8,6.0,6.17,5.63,6.27,6.68
Rouen,76178,Cléon,0,899,0,4.5,3.7,10.8,89.7,10.3,3.4,14.6,34.0,39.7,8.3,1.2,1.6,21.9,39.9,27.3,5.9,2.2,0.0,11.6,51.5,24.1,12.8,0.0,1.2,30.1,60.7,0.0,8.0,5.99,5.38,5.84,6.47
Rouen,76212,Darnétal,0,1857,12,1.7,0.6,10.8,96.8,3.2,3.0,14.8,37.3,37.5,7.4,1.1,3.0,19.8,51.6,21.5,2.4,0.6,0.0,72.3,13.1,2.5,5.0,7.1,1.9,75.0,19.3,3.8,0.0,5.89,5.21,5.61,6.38
Rouen,76216,Déville-lès-Rouen,0,1731,0,0.7,0.0,9.1,87.3,12.7,1.8,13.8,40.8,35.4,8.3,0.0,1.9,22.0,54.1,19.9,1.3,0.8,1.1,65.1,1.2,7.9,18.3,6.4,2.0,65.2,29.2,2.8,0.8,5.99,5.27,5.68,6.63
Rouen,76231,Elbeuf,0,3568,0,7.6,5.1,9.9,94.3,5.7,5.6,17.5,39.8,30.7,6.4,2.3,3.6,24.4,46.5,19.9,2.0,1.3,1.5,46.5,14.8,12.6,12.4,12.2,13.1,15.0,67.2,1.7,2.9,5.92,5.14,5.9,6.63
Rouen,76319,Grand-Couronne,0,1901,0,3.8,2.2,8.2,70.5,29.5,1.9,11.6,35.8,37.6,13.0,0.0,2.0,22.9,38.2,21.8,15.2,0.0,0.7,29.4,58.6,4.5,5.8,1.0,3.0,55.6,39.8,1.6,0.0,5.87,4.94,5.74,6.92
Rouen,76322,Le Grand-Quevilly,0,8857,0,0.5,0.2,7.3,93.9,6.1,4.5,18.9,49.5,23.7,3.4,1.8,2.5,21.6,56.7,14.6,2.6,0.2,0.1,63.6,18.8,7.5,6.5,3.5,0.7,73.0,19.0,3.5,3.8,5.66,4.97,5.39,6.16
Rouen,76402,Malaunay,0,783,56,2.7,1.7,8.6,77.4,22.6,0.0,10.2,42.5,37.8,9.5,0.0,0.0,23.5,53.5,20.6,2.4,0.0,2.0,36.0,13.1,23.8,3.7,21.4,8.4,35.6,53.2,2.8,0.0,6.35,5.47,6.38,7.08
Rouen,76410,Maromme,0,3000,0,1.6,0.6,9.4,95.2,4.8,2.2,20.0,42.0,31.2,4.6,0.0,1.9,30.0,49.5,17.8,0.7,0.0,0.8,41.5,38.5,6.4,4.4,8.4,1.7,59.8,37.3,1.3,0.0,6.14,5.61,6.11,6.68
Rouen,76429,Le Mesnil-Esnard,0,691,24,2.2,1.6,8.3,69.0,31.0,1.6,23.8,33.1,31.4,10.1,1.6,1.6,27.2,36.1,29.7,3.8,0.0,1.7,4.1,0.0,12.2,45.3,36.7,14.8,4.1,57.5,17.6,6.1,7.2,6.38,6.94,7.72
Rouen,76451,Mont-Saint-Aignan,0,4068,0,0.9,0.0,11.0,98.1,1.9,61.5,6.0,14.9,14.3,3.3,55.5,6.1,9.9,21.2,4.9,2.1,0.3,0.3,55.3,6.3,27.6,6.6,4.0,1.8,21.5,40.9,1.8,34.0,6.39,5.84,6.29,6.81
Rouen,76474,Notre-Dame-de-Bondeville,0,1036,0,9.4,7.4,9.2,94.7,5.3,2.5,18.6,46.9,28.0,4.0,1.4,6.2,36.9,36.7,17.8,1.1,0.0,0.0,75.3,0.0,9.6,15.1,0.0,1.1,74.7,21.3,3.0,0.0,6.23,5.34,5.97,7.09
Rouen,76475,Franqueville-Saint-Pierre,0,461,0,0.0,0.0,8.9,66.2,33.8,2.3,16.6,33.8,41.1,6.3,0.0,0.0,16.7,47.0,33.4,2.9,0.0,0.0,4.3,18.0,10.7,41.5,25.4,12.5,4.4,74.9,5.0,3.1,7.16,6.53,6.99,7.61
Rouen,76484,Oissel,0,2023,0,0.7,0.0,7.7,75.0,25.0,2.0,15.2,44.0,33.9,4.9,0.0,1.8,25.9,48.3,20.6,2.6,0.8,2.0,43.3,36.0,3.1,9.8,5.8,12.0,63.0,22.5,1.8,0.8,5.74,5.15,5.8,6.21
Rouen,76497,Petit-Couronne,0,1590,0,1.6,0.0,10.9,77.7,22.3,1.5,13.6,46.6,31.6,6.6,0.0,2.5,22.4,50.6,21.1,3.3,0.0,0.0,29.2,34.4,11.0,19.0,6.3,3.1,39.0,48.6,7.4,2.0,6.22,5.3,6.3,6.98
